,tau_F,tau_SG,tau_SR,kc,km,x0,a0,xtt,g,n,m0,a_max,time_resolution,tau_R0,TV0SR,TV0SG,dynamics,grid_resolution,eps,input_primetime,global_id,mem_stiff,prime_stiff,mem_time,result_prime_time,trial_id
0,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",72,0,2.0,10.0,0.0,72.2315112540193,0
1,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",72,0,2.0,10.0,0.0,72.2315112540193,1
0,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",72,1,2.0,10.0,0.0,72.2315112540193,0
1,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",72,1,2.0,10.0,0.0,72.2315112540193,1
0,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",72,2,2.0,10.0,0.0,72.2315112540193,0
1,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",72,2,2.0,10.0,0.0,72.2315112540193,1
0,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",168,0,2.0,10.0,-1.0,168.24172661870503,0
1,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",168,0,2.0,10.0,-1.0,168.24172661870503,1
0,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",168,1,2.0,10.0,-1.0,168.24172661870503,0
1,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",168,1,2.0,10.0,-1.0,168.24172661870503,1
0,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",168,2,2.0,10.0,11.015827338129496,168.24172661870503,0
1,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",168,2,2.0,10.0,17.024460431654674,168.24172661870503,1
0,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",240,0,2.0,10.0,-1.0,240.2441505595117,0
1,12.0,117.23635022058895,274.90862589915844,1.8058116518482172,stiff,1.7696635504422153,1.1196724152969657,0.0,41.89132566229027,4.155897836045625,7.667540804806604,7.414765100671141,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.4713614592744373, 0.009655341399716522)",240,0,2.0,10.0,-1.0,240.2441505595117,1
0,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",240,1,2.0,10.0,-1.0,240.2441505595117,0
1,12.0,106.75563810905537,404.7600182629862,1.466463767689159,stiff,2.26402871387519,0.24836446051681216,0.0,13.463467346083153,6.8995735623077,5.4472480302433155,6.234295302013423,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 1.0912234094764761, 0.007528753445480686)",240,1,2.0,10.0,-1.0,240.2441505595117,1
0,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",240,2,2.0,10.0,7.007121057985757,240.2441505595117,0
1,12.0,218.48736887243882,238.66872814667187,0.9127438967500475,stiff,0.912685271157961,0.862419545405321,0.0,29.207863790392366,5.730208119049725,6.1154506000853015,11.60006711409396,1.0,1.0,1.0,1.0,updated_exp_staticTS,150.0,"(0.0, 0.9300644993249946, 0.00599302737998567)",240,2,2.0,10.0,12.012207527975583,240.2441505595117,1
